3.1	16	packing/tests/test_n40_rigidity.py
7.384	52	packing/tests/test_n54_source_contract.py
2.407	19	packing/tests/test_nagamochi_bounds.py
0.081	18	packing/tests/test_near45_localization.py
4.205	7	packing/tests/test_owner_footprints.py
0.008	9	packing/tests/test_pr_description.py
0.606	6	packing/tests/test_pr_rollup_results_section.py
0.233	73	packing/tests/test_pr_wall.py
1.151	18	packing/tests/test_prepare_explainer_math.py
0.821	11	packing/tests/test_price_solved_support_candidates.py
0.02	4	packing/tests/test_price_stage1_chunks.py
0.031	1	packing/tests/test_promote_interval_verify.py
0.901	1	packing/tests/test_promote_refine.py
1.254	1	packing/tests/test_promote_roundtrip.py
0.069	1	packing/tests/test_promote_solve.py
0.049	4	packing/tests/test_prospective_source_map.py
57.058	66	packing/tests/test_read_fixed_core_calibration_profile.py
0.099	6	packing/tests/test_readme.py
0.062	7	packing/tests/test_regenerate_sites1_checkpoint.py
0.021	8	packing/tests/test_regression_diagnostics.py
3.176	15	packing/tests/test_render_colors.py
0.732	70	packing/tests/test_render_explainer_pdf.py
6.634	4	packing/tests/test_render_wave_efficiency.py
9.302	11	packing/tests/test_replay_bc303_t1_witness.py
0.03	4	packing/tests/test_replay_ceiling_family.py
8.774	5	packing/tests/test_replay_h157_geometry.py
0.923	5	packing/tests/test_replay_owner_footprint_cover.py
1.436	36	packing/tests/test_report_math_startup.py
0.041	10	packing/tests/test_research_contracts.py
4.575	8	packing/tests/test_restricted_orientation_discriminator.py
0.103	11	packing/tests/test_restricted_orientation_discriminator_review.py
4.257	17	packing/tests/test_results_register.py
1.174	4	packing/tests/test_run_arm_sweep.py
0.969	22	packing/tests/test_run_full_size_density_graph.py
2.953	9	packing/tests/test_run_owner_footprint_cover.py
0.089	9	packing/tests/test_run_relational_colgen.py
1.278	7	packing/tests/test_run_residual_cover_pilot.py
0.526	54	packing/tests/test_sans_instances.py
33.514	994	packing/tests/test_schema_validator_equivalence.py
1.119	9	packing/tests/test_screen_corner_dual_salvage.py
0.565	4	packing/tests/test_site_merge.py
0.27	11	packing/tests/test_stromquist_five_point_obstruction.py
